Gene,Non-unique Gene name,Annotation,SPARK_0516,SPARK_1059,SPARK_1507,SPARK_1852,SPARK_1954,SPARK_2540
ihfA,ihfA,Integration host factor subunit alpha,JHOIBPIP_02279,HHCJKAOK_02858,BNPNPENK_02781,LNHDNJLJ_02960,KJPPOAMA_02299,KELBMKEO_02504
rplW,rplW,50S ribosomal protein L23,JHOIBPIP_04727,HHCJKAOK_00401,BNPNPENK_00417,LNHDNJLJ_00418,KJPPOAMA_04728,KELBMKEO_04887
group_1258,,hypothetical protein,JHOIBPIP_02872,HHCJKAOK_03405,BNPNPENK_03458,LNHDNJLJ_03504,KJPPOAMA_02839,KELBMKEO_03036
nuoK,nuoK,NADH-quinone oxidoreductase subunit K,JHOIBPIP_00985,HHCJKAOK_01470,BNPNPENK_01470,LNHDNJLJ_01529,KJPPOAMA_00918,KELBMKEO_01062
rpsN,rpsN,30S ribosomal protein S14,JHOIBPIP_04738,HHCJKAOK_00412,BNPNPENK_00428,LNHDNJLJ_00429,KJPPOAMA_04739,KELBMKEO_04898
cbpM,cbpM,Chaperone modulatory protein CbpM,JHOIBPIP_03960,HHCJKAOK_04502,BNPNPENK_04555,LNHDNJLJ_04598,KJPPOAMA_03960,KELBMKEO_04121
ulaB_2,ulaB_2,Ascorbate-specific PTS system EIIB component,JHOIBPIP_03882,HHCJKAOK_04426,BNPNPENK_04480,LNHDNJLJ_04523,KJPPOAMA_03884,KELBMKEO_04046
yaiY,yaiY,Inner membrane protein YaiY,JHOIBPIP_03271,HHCJKAOK_03805,BNPNPENK_03864,LNHDNJLJ_03904,KJPPOAMA_03305,KELBMKEO_03443
yqjD,yqjD,putative protein YqjD,JHOIBPIP_00140,HHCJKAOK_00589,BNPNPENK_00606,LNHDNJLJ_00608,KJPPOAMA_00105,KELBMKEO_00145
hfq,hfq,RNA-binding protein Hfq,JHOIBPIP_03899,HHCJKAOK_04443,BNPNPENK_04497,LNHDNJLJ_04540,KJPPOAMA_03901,KELBMKEO_04063
bsmA,bsmA,Lipoprotein BsmA,JHOIBPIP_03887,HHCJKAOK_04431,BNPNPENK_04485,LNHDNJLJ_04528,KJPPOAMA_03889,KELBMKEO_04051
celA_1,celA_1,PTS system cellobiose-specific EIIB component,JHOIBPIP_03829,HHCJKAOK_04370,BNPNPENK_04425,LNHDNJLJ_04464,KJPPOAMA_03831,KELBMKEO_03990
group_1253,,hypothetical protein,JHOIBPIP_00317,HHCJKAOK_00764,BNPNPENK_00785,LNHDNJLJ_00788,KJPPOAMA_00293,KELBMKEO_00326
rpsJ,rpsJ,30S ribosomal protein S10,JHOIBPIP_04724,HHCJKAOK_00398,BNPNPENK_00414,LNHDNJLJ_00415,KJPPOAMA_04725,KELBMKEO_04884
group_1250,,hypothetical protein,JHOIBPIP_01192,HHCJKAOK_01671,BNPNPENK_01678,LNHDNJLJ_01742,KJPPOAMA_01115,KELBMKEO_01275
ftsB,ftsB,Cell division protein FtsB,JHOIBPIP_00530,HHCJKAOK_01042,BNPNPENK_01011,LNHDNJLJ_01019,KJPPOAMA_00509,KELBMKEO_00553
group_1248,,hypothetical protein,JHOIBPIP_00358,HHCJKAOK_00810,BNPNPENK_00831,LNHDNJLJ_00835,KJPPOAMA_00339,KELBMKEO_00372
rplU,rplU,50S ribosomal protein L21,JHOIBPIP_00068,HHCJKAOK_00520,BNPNPENK_00536,LNHDNJLJ_00538,KJPPOAMA_00036,KELBMKEO_00076
rplX,rplX,50S ribosomal protein L24,JHOIBPIP_04736,HHCJKAOK_00410,BNPNPENK_00426,LNHDNJLJ_00427,KJPPOAMA_04737,KELBMKEO_04896
celA_3,celA_3,PTS system cellobiose-specific EIIB component,JHOIBPIP_04375,HHCJKAOK_00050,BNPNPENK_00046,LNHDNJLJ_00050,KJPPOAMA_04381,KELBMKEO_04534
priB,priB,Primosomal replication protein N,JHOIBPIP_03874,HHCJKAOK_04418,BNPNPENK_04472,LNHDNJLJ_04515,KJPPOAMA_03876,KELBMKEO_04038
bolA,bolA,DNA-binding transcriptional regulator BolA,JHOIBPIP_03190,HHCJKAOK_03724,BNPNPENK_03783,LNHDNJLJ_03824,KJPPOAMA_03224,KELBMKEO_03363
atl,atl,DNA base-flipping protein,JHOIBPIP_03168,HHCJKAOK_03702,BNPNPENK_03761,LNHDNJLJ_03802,KJPPOAMA_03202,KELBMKEO_03341
fliE,fliE,Flagellar hook-basal body complex protein FliE,JHOIBPIP_02591,HHCJKAOK_03108,BNPNPENK_03151,LNHDNJLJ_03195,KJPPOAMA_02544,KELBMKEO_02738
osmY_2,osmY_2,Osmotically-inducible protein Y,JHOIBPIP_00621,HHCJKAOK_01116,BNPNPENK_01095,LNHDNJLJ_01100,KJPPOAMA_00589,KELBMKEO_00627
ygiN,ygiN,putative quinol monooxygenase YgiN,JHOIBPIP_00224,HHCJKAOK_00674,BNPNPENK_00692,LNHDNJLJ_00701,KJPPOAMA_00196,KELBMKEO_00236
metJ,metJ,Met repressor,JHOIBPIP_04131,HHCJKAOK_04668,BNPNPENK_04735,LNHDNJLJ_04776,KJPPOAMA_04136,KELBMKEO_04291
chbA_2,chbA_2,PTS system NN'-diacetylchitobiose-specific EIIA component,JHOIBPIP_04088,HHCJKAOK_04625,BNPNPENK_04684,LNHDNJLJ_04725,KJPPOAMA_04093,KELBMKEO_04248
gdx,gdx,Guanidinium exporter,JHOIBPIP_03921,HHCJKAOK_04465,BNPNPENK_04519,LNHDNJLJ_04562,KJPPOAMA_03923,KELBMKEO_04085
group_1237,,hypothetical protein,JHOIBPIP_03743,HHCJKAOK_04301,BNPNPENK_04350,LNHDNJLJ_04379,KJPPOAMA_03758,KELBMKEO_03902
rsfS,rsfS,Ribosomal silencing factor RsfS,JHOIBPIP_02980,HHCJKAOK_03513,BNPNPENK_03567,LNHDNJLJ_03613,KJPPOAMA_02947,KELBMKEO_03144
clpS,clpS,ATP-dependent Clp protease adapter protein ClpS,JHOIBPIP_02736,HHCJKAOK_03273,BNPNPENK_03321,LNHDNJLJ_03351,KJPPOAMA_02700,KELBMKEO_02897
hspQ,hspQ,Heat shock protein HspQ,JHOIBPIP_02665,HHCJKAOK_03192,BNPNPENK_03243,LNHDNJLJ_03271,KJPPOAMA_02619,KELBMKEO_02816
group_1236,,hypothetical protein,JHOIBPIP_02132,HHCJKAOK_02717,BNPNPENK_02639,LNHDNJLJ_02817,KJPPOAMA_02155,KELBMKEO_02367
rcnB,rcnB,Nickel/cobalt homeostasis protein RcnB,JHOIBPIP_01110,HHCJKAOK_01597,BNPNPENK_01593,LNHDNJLJ_01658,KJPPOAMA_01042,KELBMKEO_01189
cyaY,cyaY,Iron-sulfur cluster assembly protein CyaY,JHOIBPIP_04231,HHCJKAOK_04767,BNPNPENK_04838,LNHDNJLJ_04873,KJPPOAMA_04235,KELBMKEO_04390
group_1231,,hypothetical protein,JHOIBPIP_04042,HHCJKAOK_04583,BNPNPENK_04639,LNHDNJLJ_04680,KJPPOAMA_04045,KELBMKEO_04206
chbB,chbB,PTS system NN'-diacetylchitobiose-specific EIIB component,JHOIBPIP_01469,HHCJKAOK_01958,BNPNPENK_01938,LNHDNJLJ_02026,KJPPOAMA_01400,KELBMKEO_01636
group_1224,,hypothetical protein,JHOIBPIP_04161,HHCJKAOK_04698,BNPNPENK_04765,LNHDNJLJ_04803,KJPPOAMA_04166,KELBMKEO_04321
flgM,flgM,Negative regulator of flagellin synthesis,JHOIBPIP_02632,HHCJKAOK_03149,BNPNPENK_03191,LNHDNJLJ_03235,KJPPOAMA_02586,KELBMKEO_02783
mliC,mliC,Membrane-bound lysozyme inhibitor of C-type lysozyme,JHOIBPIP_02101,HHCJKAOK_02686,BNPNPENK_02608,LNHDNJLJ_02786,KJPPOAMA_02124,KELBMKEO_02336
group_1222,,hypothetical protein,JHOIBPIP_01605,HHCJKAOK_02147,BNPNPENK_02100,LNHDNJLJ_02264,KJPPOAMA_01588,KELBMKEO_01774
group_1221,,hypothetical protein,JHOIBPIP_01198,HHCJKAOK_01677,BNPNPENK_01685,LNHDNJLJ_01748,KJPPOAMA_01121,KELBMKEO_01282
iscA,iscA,Iron-binding protein IscA,JHOIBPIP_00768,HHCJKAOK_01295,BNPNPENK_01244,LNHDNJLJ_01301,KJPPOAMA_00743,KELBMKEO_00823
doxA,doxA,Naphthalene 12-dioxygenase system ferredoxin component,JHOIBPIP_00316,HHCJKAOK_00763,BNPNPENK_00784,LNHDNJLJ_00787,KJPPOAMA_00292,KELBMKEO_00325
nirD,nirD,Nitrite reductase (NADH) small subunit,JHOIBPIP_04687,HHCJKAOK_00364,BNPNPENK_00377,LNHDNJLJ_00381,KJPPOAMA_04691,KELBMKEO_04850
rnpA,rnpA,Ribonuclease P protein component,JHOIBPIP_04326,HHCJKAOK_04863,BNPNPENK_04933,LNHDNJLJ_04968,KJPPOAMA_04329,KELBMKEO_04482
ygbE,ygbE,Inner membrane protein YgbE,JHOIBPIP_00529,HHCJKAOK_01041,BNPNPENK_01010,LNHDNJLJ_01018,KJPPOAMA_00508,KELBMKEO_00552
group_1215,,putative protein,JHOIBPIP_00291,HHCJKAOK_00739,BNPNPENK_00759,LNHDNJLJ_00761,KJPPOAMA_00267,KELBMKEO_00301
glpE_2,glpE_2,Thiosulfate sulfurtransferase GlpE,JHOIBPIP_04642,HHCJKAOK_00316,BNPNPENK_00332,LNHDNJLJ_00336,KJPPOAMA_04646,KELBMKEO_04805
group_1207,,hypothetical protein,JHOIBPIP_04340,HHCJKAOK_00014,BNPNPENK_00014,LNHDNJLJ_00014,KJPPOAMA_04344,KELBMKEO_04496
trxA,trxA,Thioredoxin 1,JHOIBPIP_04256,HHCJKAOK_04791,BNPNPENK_04862,LNHDNJLJ_04897,KJPPOAMA_04260,KELBMKEO_04412
soxS,soxS,Regulatory protein SoxS,JHOIBPIP_04006,HHCJKAOK_04547,BNPNPENK_04602,LNHDNJLJ_04643,KJPPOAMA_04005,KELBMKEO_04166
qacC,qacC,Quaternary ammonium compound-resistance protein QacC,JHOIBPIP_03737,HHCJKAOK_04294,BNPNPENK_04344,LNHDNJLJ_04373,KJPPOAMA_03751,KELBMKEO_03895
cyoD,cyoD,Cytochrome bo(3) ubiquinol oxidase subunit 4,JHOIBPIP_03196,HHCJKAOK_03730,BNPNPENK_03789,LNHDNJLJ_03830,KJPPOAMA_03230,KELBMKEO_03369
tusE,tusE,Sulfurtransferase TusE,JHOIBPIP_02662,HHCJKAOK_03189,BNPNPENK_03240,LNHDNJLJ_03268,KJPPOAMA_02616,KELBMKEO_02813
group_1206,,hypothetical protein,JHOIBPIP_02304,HHCJKAOK_02888,BNPNPENK_02795,LNHDNJLJ_02974,KJPPOAMA_02329,KELBMKEO_02526
mdtI,mdtI,Spermidine export protein MdtI,JHOIBPIP_02022,HHCJKAOK_02606,BNPNPENK_02527,LNHDNJLJ_02707,KJPPOAMA_02045,KELBMKEO_02256
zapA,zapA,Cell division protein ZapA,JHOIBPIP_00343,HHCJKAOK_00795,BNPNPENK_00816,LNHDNJLJ_00819,KJPPOAMA_00324,KELBMKEO_00357
secG,secG,Protein-export membrane protein SecG,JHOIBPIP_00080,HHCJKAOK_00532,BNPNPENK_00548,LNHDNJLJ_00550,KJPPOAMA_00048,KELBMKEO_00088
rplV,rplV,50S ribosomal protein L22,JHOIBPIP_04730,HHCJKAOK_00404,BNPNPENK_00420,LNHDNJLJ_00421,KJPPOAMA_04731,KELBMKEO_04890
yajC,yajC,Sec translocon accessory complex subunit YajC,JHOIBPIP_03240,HHCJKAOK_03774,BNPNPENK_03833,LNHDNJLJ_03873,KJPPOAMA_03273,KELBMKEO_03412
ybaB,ybaB,Nucleoid-associated protein YbaB,JHOIBPIP_03143,HHCJKAOK_03677,BNPNPENK_03736,LNHDNJLJ_03777,KJPPOAMA_03177,KELBMKEO_03316
chiQ,chiQ,putative lipoprotein ChiQ,JHOIBPIP_02946,HHCJKAOK_03479,BNPNPENK_03531,LNHDNJLJ_03579,KJPPOAMA_02913,KELBMKEO_03110
ygjH,ygjH,tRNA-binding protein YgjH,JHOIBPIP_00169,HHCJKAOK_00618,BNPNPENK_00636,LNHDNJLJ_00638,KJPPOAMA_00134,KELBMKEO_00174
yhbY,yhbY,RNA-binding protein YhbY,JHOIBPIP_00075,HHCJKAOK_00527,BNPNPENK_00543,LNHDNJLJ_00545,KJPPOAMA_00043,KELBMKEO_00083
uspB,uspB,Universal stress protein B,JHOIBPIP_04563,HHCJKAOK_00238,BNPNPENK_00247,LNHDNJLJ_00251,KJPPOAMA_04567,KELBMKEO_04727
yiaW_2,yiaW_2,Inner membrane protein YiaW,JHOIBPIP_03086,HHCJKAOK_03621,BNPNPENK_03673,LNHDNJLJ_03717,KJPPOAMA_03057,KELBMKEO_03251
ydgC,ydgC,Inner membrane protein YdgC,JHOIBPIP_02065,HHCJKAOK_02650,BNPNPENK_02571,LNHDNJLJ_02750,KJPPOAMA_02087,KELBMKEO_02300
fdx,fdx,2Fe-2S ferredoxin,JHOIBPIP_00771,HHCJKAOK_01298,BNPNPENK_01247,LNHDNJLJ_01304,KJPPOAMA_00746,KELBMKEO_00826
raiA,raiA,Ribosome-associated inhibitor A,JHOIBPIP_00714,HHCJKAOK_01239,BNPNPENK_01187,LNHDNJLJ_01244,KJPPOAMA_00689,KELBMKEO_00767
arnE,arnE,putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE,JHOIBPIP_04582,HHCJKAOK_00256,BNPNPENK_00265,LNHDNJLJ_00269,KJPPOAMA_04586,KELBMKEO_04745
group_1194,,hypothetical protein,JHOIBPIP_04273,HHCJKAOK_04808,BNPNPENK_04879,LNHDNJLJ_04914,KJPPOAMA_04277,KELBMKEO_04429
group_1193,,hypothetical protein,JHOIBPIP_03842,HHCJKAOK_04385,BNPNPENK_04440,LNHDNJLJ_04479,KJPPOAMA_03844,KELBMKEO_04005
glnK,glnK,Nitrogen regulatory protein P-II 2,JHOIBPIP_03174,HHCJKAOK_03708,BNPNPENK_03767,LNHDNJLJ_03808,KJPPOAMA_03208,KELBMKEO_03347
osmE,osmE,Osmotically-inducible putative lipoprotein OsmE,JHOIBPIP_01468,HHCJKAOK_01957,BNPNPENK_01937,LNHDNJLJ_02025,KJPPOAMA_01399,KELBMKEO_01635
glnB,glnB,Nitrogen regulatory protein P-II,JHOIBPIP_00755,HHCJKAOK_01282,BNPNPENK_01231,LNHDNJLJ_01288,KJPPOAMA_00730,KELBMKEO_00810
bamE,bamE,Outer membrane protein assembly factor BamE,JHOIBPIP_00694,HHCJKAOK_01216,BNPNPENK_01167,LNHDNJLJ_01224,KJPPOAMA_00669,KELBMKEO_00744
group_1188,,hypothetical protein,JHOIBPIP_01316,HHCJKAOK_01795,BNPNPENK_01802,LNHDNJLJ_01858,KJPPOAMA_01240,KELBMKEO_01426
ytfP,ytfP,Gamma-glutamylcyclotransferase family protein ytfP,JHOIBPIP_03854,HHCJKAOK_04398,BNPNPENK_04452,LNHDNJLJ_04495,KJPPOAMA_03856,KELBMKEO_04018
marA_3,marA_3,Multiple antibiotic resistance protein MarA,JHOIBPIP_03054,HHCJKAOK_03587,BNPNPENK_03642,LNHDNJLJ_03686,KJPPOAMA_03025,KELBMKEO_03218
group_1186,,hypothetical protein,JHOIBPIP_02003,HHCJKAOK_02588,BNPNPENK_02508,LNHDNJLJ_02687,KJPPOAMA_02018,KELBMKEO_02238
erpA,erpA,Iron-sulfur cluster insertion protein ErpA,JHOIBPIP_03433,HHCJKAOK_03994,BNPNPENK_04045,LNHDNJLJ_04075,KJPPOAMA_03459,KELBMKEO_03600
yabJ_1,yabJ_1,2-iminobutanoate/2-iminopropanoate deaminase,JHOIBPIP_01351,HHCJKAOK_01830,BNPNPENK_01833,LNHDNJLJ_01893,KJPPOAMA_01275,KELBMKEO_01461
yejG,yejG,putative protein YejG,JHOIBPIP_01040,HHCJKAOK_01529,BNPNPENK_01527,LNHDNJLJ_01585,KJPPOAMA_00974,KELBMKEO_01121
hypA,hypA,Hydrogenase maturation factor HypA,JHOIBPIP_00580,HHCJKAOK_01076,BNPNPENK_01054,LNHDNJLJ_01059,KJPPOAMA_00549,KELBMKEO_00587
yidH,yidH,Inner membrane protein YidH,JHOIBPIP_04347,HHCJKAOK_00021,BNPNPENK_00018,LNHDNJLJ_00019,KJPPOAMA_04351,KELBMKEO_04504
sdhD,sdhD,Succinate dehydrogenase hydrophobic membrane anchor subunit,JHOIBPIP_02917,HHCJKAOK_03450,BNPNPENK_03502,LNHDNJLJ_03550,KJPPOAMA_02884,KELBMKEO_03081
group_1179,,hypothetical protein,JHOIBPIP_02370,HHCJKAOK_02954,BNPNPENK_02861,LNHDNJLJ_03039,KJPPOAMA_02395,KELBMKEO_02592
grxD,grxD,Glutaredoxin 4,JHOIBPIP_02116,HHCJKAOK_02701,BNPNPENK_02623,LNHDNJLJ_02801,KJPPOAMA_02139,KELBMKEO_02351
chbA_1,chbA_1,PTS system NN'-diacetylchitobiose-specific EIIA component,JHOIBPIP_01471,HHCJKAOK_01960,BNPNPENK_01940,LNHDNJLJ_02028,KJPPOAMA_01402,KELBMKEO_01638
rplS,rplS,50S ribosomal protein L19,JHOIBPIP_00704,HHCJKAOK_01226,BNPNPENK_01177,LNHDNJLJ_01234,KJPPOAMA_00679,KELBMKEO_00754
ygaM,ygaM,putative protein YgaM,JHOIBPIP_00640,HHCJKAOK_01135,BNPNPENK_01114,LNHDNJLJ_01119,KJPPOAMA_00608,KELBMKEO_00646
flhD,flhD,Flagellar transcriptional regulator FlhD,JHOIBPIP_02648,HHCJKAOK_03165,BNPNPENK_03207,LNHDNJLJ_03251,KJPPOAMA_02602,KELBMKEO_02799
rplR,rplR,50S ribosomal protein L18,JHOIBPIP_04741,HHCJKAOK_00415,BNPNPENK_00431,LNHDNJLJ_00432,KJPPOAMA_04742,KELBMKEO_04901
group_1174,,hypothetical protein,JHOIBPIP_03980,HHCJKAOK_04522,BNPNPENK_04575,LNHDNJLJ_04618,KJPPOAMA_03980,KELBMKEO_04141
group_1173,,hypothetical protein,JHOIBPIP_03937,HHCJKAOK_04479,BNPNPENK_04533,LNHDNJLJ_04576,KJPPOAMA_03937,KELBMKEO_04098
ybaA,ybaA,putative protein YbaA,JHOIBPIP_03162,HHCJKAOK_03696,BNPNPENK_03755,LNHDNJLJ_03796,KJPPOAMA_03196,KELBMKEO_03335
ychN,ychN,Protein YchN,JHOIBPIP_02338,HHCJKAOK_02922,BNPNPENK_02829,LNHDNJLJ_03008,KJPPOAMA_02363,KELBMKEO_02560
group_1172,,hypothetical protein,JHOIBPIP_00865,HHCJKAOK_01389,BNPNPENK_01338,LNHDNJLJ_01397,KJPPOAMA_00839,KELBMKEO_00919
rpsM,rpsM,30S ribosomal protein S13,JHOIBPIP_04746,HHCJKAOK_00420,BNPNPENK_00436,LNHDNJLJ_00437,KJPPOAMA_04747,KELBMKEO_04906
rplT,rplT,50S ribosomal protein L20,JHOIBPIP_02282,HHCJKAOK_02861,BNPNPENK_02784,LNHDNJLJ_02963,KJPPOAMA_02302,KELBMKEO_02507
yffB,yffB,Protein YffB,JHOIBPIP_00824,HHCJKAOK_01349,BNPNPENK_01299,LNHDNJLJ_01358,KJPPOAMA_00799,KELBMKEO_00879
tusC,tusC,Protein TusC,JHOIBPIP_04715,HHCJKAOK_00389,BNPNPENK_00405,LNHDNJLJ_00406,KJPPOAMA_04716,KELBMKEO_04875
group_1158,,hypothetical protein,JHOIBPIP_04568,HHCJKAOK_00242,BNPNPENK_00251,LNHDNJLJ_00255,KJPPOAMA_04572,KELBMKEO_04731
yijD,yijD,Inner membrane protein YijD,JHOIBPIP_04114,HHCJKAOK_04651,BNPNPENK_04710,LNHDNJLJ_04751,KJPPOAMA_04119,KELBMKEO_04274
frdD,frdD,Fumarate reductase subunit D,JHOIBPIP_03919,HHCJKAOK_04463,BNPNPENK_04517,LNHDNJLJ_04560,KJPPOAMA_03921,KELBMKEO_04083
pspC,pspC,Phage shock protein C,JHOIBPIP_01549,HHCJKAOK_02094,BNPNPENK_02031,LNHDNJLJ_02182,KJPPOAMA_01529,KELBMKEO_01709
yfgD,yfgD,putative protein YfgD,JHOIBPIP_00811,HHCJKAOK_01336,BNPNPENK_01286,LNHDNJLJ_01345,KJPPOAMA_00786,KELBMKEO_00866
group_1157,,hypothetical protein,JHOIBPIP_00355,HHCJKAOK_00807,BNPNPENK_00828,LNHDNJLJ_00832,KJPPOAMA_00336,KELBMKEO_00369
yibL,yibL,putative protein YibL,JHOIBPIP_04477,HHCJKAOK_00155,BNPNPENK_00149,LNHDNJLJ_00150,KJPPOAMA_04483,KELBMKEO_04641
yidG,yidG,Inner membrane protein YidG,JHOIBPIP_04348,HHCJKAOK_00022,BNPNPENK_00019,LNHDNJLJ_00020,KJPPOAMA_04352,KELBMKEO_04505
group_1153,,hypothetical protein,JHOIBPIP_03841,HHCJKAOK_04384,BNPNPENK_04439,LNHDNJLJ_04478,KJPPOAMA_03843,KELBMKEO_04004
group_1152,,hypothetical protein,JHOIBPIP_03464,HHCJKAOK_04025,BNPNPENK_04077,LNHDNJLJ_04106,KJPPOAMA_03490,KELBMKEO_03631
mdtJ_1,mdtJ_1,Spermidine export protein MdtJ,JHOIBPIP_02023,HHCJKAOK_02607,BNPNPENK_02528,LNHDNJLJ_02708,KJPPOAMA_02046,KELBMKEO_02257
folX,folX,Dihydroneopterin triphosphate 2'-epimerase,JHOIBPIP_00962,HHCJKAOK_01447,BNPNPENK_01447,LNHDNJLJ_01506,KJPPOAMA_00895,KELBMKEO_01039
group_1150,,hypothetical protein,JHOIBPIP_00641,HHCJKAOK_01136,BNPNPENK_01115,LNHDNJLJ_01120,KJPPOAMA_00609,KELBMKEO_00647
rplL,rplL,50S ribosomal protein L7/L12,JHOIBPIP_04092,HHCJKAOK_04629,BNPNPENK_04688,LNHDNJLJ_04729,KJPPOAMA_04097,KELBMKEO_04252
ftsL,ftsL,Cell division protein FtsL,JHOIBPIP_03502,HHCJKAOK_04064,BNPNPENK_04115,LNHDNJLJ_04145,KJPPOAMA_03529,KELBMKEO_03670
queD,queD,6-carboxy-5678-tetrahydropterin synthase,JHOIBPIP_00520,HHCJKAOK_01032,BNPNPENK_00991,LNHDNJLJ_01000,KJPPOAMA_00499,KELBMKEO_00533
group_1143,,hypothetical protein,JHOIBPIP_03332,HHCJKAOK_03893,BNPNPENK_03944,LNHDNJLJ_03967,KJPPOAMA_03362,KELBMKEO_03500
group_1142,,hypothetical protein,JHOIBPIP_03057,HHCJKAOK_03590,BNPNPENK_03645,LNHDNJLJ_03689,KJPPOAMA_03028,KELBMKEO_03221
group_1141,,hypothetical protein,JHOIBPIP_01957,HHCJKAOK_02541,BNPNPENK_02462,LNHDNJLJ_02642,KJPPOAMA_01972,KELBMKEO_02191
yqjC,yqjC,Protein YqjC,JHOIBPIP_00141,HHCJKAOK_00590,BNPNPENK_00607,LNHDNJLJ_00609,KJPPOAMA_00106,KELBMKEO_00146
yhaH,yhaH,Inner membrane protein YhaH,JHOIBPIP_00134,HHCJKAOK_00583,BNPNPENK_00600,LNHDNJLJ_00602,KJPPOAMA_00099,KELBMKEO_00139
rplN,rplN,50S ribosomal protein L14,JHOIBPIP_04735,HHCJKAOK_00409,BNPNPENK_00425,LNHDNJLJ_00426,KJPPOAMA_04736,KELBMKEO_04895
group_1138,,hypothetical protein,JHOIBPIP_04607,HHCJKAOK_00281,BNPNPENK_00292,LNHDNJLJ_00296,KJPPOAMA_04611,KELBMKEO_04770
group_1137,,hypothetical protein,JHOIBPIP_03961,HHCJKAOK_04503,BNPNPENK_04556,LNHDNJLJ_04599,KJPPOAMA_03961,KELBMKEO_04122
group_1136,,hypothetical protein,JHOIBPIP_03863,HHCJKAOK_04407,BNPNPENK_04461,LNHDNJLJ_04504,KJPPOAMA_03865,KELBMKEO_04027
group_1135,,hypothetical protein,JHOIBPIP_02186,HHCJKAOK_02772,BNPNPENK_02696,LNHDNJLJ_02873,KJPPOAMA_02209,KELBMKEO_02421
rpsL,rpsL,30S ribosomal protein S12,JHOIBPIP_04717,HHCJKAOK_00391,BNPNPENK_00407,LNHDNJLJ_00408,KJPPOAMA_04718,KELBMKEO_04877
tomB,tomB,Hha toxicity modulator TomB,JHOIBPIP_03153,HHCJKAOK_03687,BNPNPENK_03746,LNHDNJLJ_03787,KJPPOAMA_03187,KELBMKEO_03326
apaG,apaG,Protein ApaG,JHOIBPIP_03542,HHCJKAOK_04104,BNPNPENK_04155,LNHDNJLJ_04185,KJPPOAMA_03569,KELBMKEO_03710
sufA,sufA,Protein SufA,JHOIBPIP_02256,HHCJKAOK_02836,BNPNPENK_02758,LNHDNJLJ_02934,KJPPOAMA_02277,KELBMKEO_02481
group_1127,,hypothetical protein,JHOIBPIP_04747,HHCJKAOK_00421,BNPNPENK_00437,LNHDNJLJ_00438,KJPPOAMA_04748,KELBMKEO_04907
atpI,atpI,ATP synthase protein I,JHOIBPIP_04298,HHCJKAOK_04833,BNPNPENK_04904,LNHDNJLJ_04939,KJPPOAMA_04302,KELBMKEO_04454
hpcD,hpcD,5-carboxymethyl-2-hydroxymuconate Delta-isomerase,JHOIBPIP_03679,HHCJKAOK_04236,BNPNPENK_04292,LNHDNJLJ_04321,KJPPOAMA_03701,KELBMKEO_03835
panD,panD,Aspartate 1-decarboxylase,JHOIBPIP_03450,HHCJKAOK_04011,BNPNPENK_04062,LNHDNJLJ_04092,KJPPOAMA_03476,KELBMKEO_03617
acpS,acpS,Holo-[acyl-carrier-protein] synthase,JHOIBPIP_00745,HHCJKAOK_01270,BNPNPENK_01219,LNHDNJLJ_01276,KJPPOAMA_00720,KELBMKEO_00798
secE,secE,Protein translocase subunit SecE,JHOIBPIP_04097,HHCJKAOK_04634,BNPNPENK_04693,LNHDNJLJ_04734,KJPPOAMA_04102,KELBMKEO_04257
ybjM,ybjM,Inner membrane protein YbjM,JHOIBPIP_02774,HHCJKAOK_03310,BNPNPENK_03358,LNHDNJLJ_03389,KJPPOAMA_02738,KELBMKEO_02934
marA_1,marA_1,Multiple antibiotic resistance protein MarA,JHOIBPIP_01974,HHCJKAOK_02559,BNPNPENK_02479,LNHDNJLJ_02659,KJPPOAMA_01989,KELBMKEO_02209
grcA,grcA,Autonomous glycyl radical cofactor,JHOIBPIP_00731,HHCJKAOK_01256,BNPNPENK_01205,LNHDNJLJ_01262,KJPPOAMA_00706,KELBMKEO_00784
folB,folB,Dihydroneopterin aldolase,JHOIBPIP_00205,HHCJKAOK_00655,BNPNPENK_00673,LNHDNJLJ_00680,KJPPOAMA_00177,KELBMKEO_00217
mzrA,mzrA,Modulator protein MzrA,JHOIBPIP_00142,HHCJKAOK_00591,BNPNPENK_00608,LNHDNJLJ_00610,KJPPOAMA_00107,KELBMKEO_00147
rplQ,rplQ,50S ribosomal protein L17,JHOIBPIP_04750,HHCJKAOK_00424,BNPNPENK_00440,LNHDNJLJ_00441,KJPPOAMA_04751,KELBMKEO_04910
tusD,tusD,Sulfurtransferase TusD,JHOIBPIP_04714,HHCJKAOK_00388,BNPNPENK_00404,LNHDNJLJ_00405,KJPPOAMA_04715,KELBMKEO_04874
cybC,cybC,Soluble cytochrome b562,JHOIBPIP_03843,HHCJKAOK_04386,BNPNPENK_04441,LNHDNJLJ_04480,KJPPOAMA_03845,KELBMKEO_04006
ridA_1,ridA_1,2-iminobutanoate/2-iminopropanoate deaminase,JHOIBPIP_03821,HHCJKAOK_04362,BNPNPENK_04417,LNHDNJLJ_04456,KJPPOAMA_03823,KELBMKEO_03982
group_1121,,hypothetical protein,JHOIBPIP_03425,HHCJKAOK_03985,BNPNPENK_04037,LNHDNJLJ_04066,KJPPOAMA_03451,KELBMKEO_03592
